season,week,P25,P50,P75,P90,P95
2022-2023,1,4118.75,5281,7589.5,12309.600000000002,18946.399999999976
2022-2023,2,4287.5,5503.5,7842,12934.500000000002,19951.79999999998
2022-2023,3,4462,5725.5,8343,13769.500000000007,22101.749999999985
2022-2023,4,4768.5,6014,8846.5,15065.000000000004,24344.2
2022-2023,5,5136,6560,9399.25,16340.300000000001,27962.999999999985
2022-2023,6,5454,7015.5,9925.5,17846.100000000002,29735.199999999993
2022-2023,7,5934.75,7644.5,11216,19526.399999999998,32455.6
2022-2023,8,6424.5,8271,12127.5,21031.80000000002,34857.549999999974
2022-2023,9,7090.5,9042,12869.25,23194.400000000005,36983.74999999999
2022-2023,10,7641,9789,14168.75,25269.300000000007,41735.79999999999
2022-2023,11,8343,10765,15621.5,26537.30000000001,44014.29999999998
2022-2023,12,9503.75,12110.5,17247.25,29119.80000000002,46788.149999999994
2022-2023,13,10872.75,13797.5,19870.5,33532.00000000001,56014.799999999996
2022-2023,14,12547.75,15983.5,23220.25,40423.900000000016,60425.05
2022-2023,15,14522,18767.5,26165.75,43023.20000000001,68461
2022-2023,16,16583.5,21197.5,29980,52817.30000000003,84987.2
2022-2023,17,18630,24199,34303.25,55945.60000000006,89054.44999999997
2022-2023,18,20953,26929,38520,63571.60000000003,96623.34999999992
2022-2023,19,23419.5,30097,43496.75,71973.50000000004,110505.89999999997
2022-2023,20,25264.5,32421.5,46987,76095.30000000006,118658.6499999999
2022-2023,21,27290.5,33984,49372,83247.20000000004,134362.54999999984
2022-2023,22,28244.25,36550.5,54408,89391.70000000003,131969.3
2022-2023,23,29788.75,38379.5,55680.5,89268.90000000002,132448.89999999997
2022-2023,24,31200.75,40322.5,58476.5,95865.1,156899.8499999999
2022-2023,25,32158.25,41250.5,60623.25,101145.30000000006,157748.79999999996
2022-2023,26,32989,42839,61668,103228.90000000001,162875.24999999997
2022-2023,27,33633.25,43994.5,61207.25,102163.70000000007,164012.15
2022-2023,28,33557.5,42830.5,61341.5,102047.40000000001,161215.8
2022-2023,29,33106.5,42539,58778.25,98439.00000000007,135574
2022-2023,30,31058.25,40319.5,57095.25,89876.30000000012,147849.55000000002
2022-2023,31,28936.25,36646,51839.5,89289.90000000015,134910.29999999993
2022-2023,32,26170.5,32978,45464.25,76449.6,113144.25
2022-2023,33,22758.75,28905,40288.25,65990.90000000001,96229.0499999999
2022-2023,34,19622.75,24565,35448.5,54852.60000000002,83717.79999999996
2022-2023,35,16950.5,21351.5,30017.5,46769.30000000005,70735.69999999997
2022-2023,36,14437.5,18371.5,25348,38866.500000000015,54302.39999999998
2022-2023,37,12437.25,15481,21668.5,35167.30000000001,52308.59999999999
2022-2023,38,10800,13331,18839.25,29356.900000000012,43673.14999999999
2022-2023,39,9282,11517.5,16425.5,24550.500000000007,37127.39999999998
2022-2023,40,8194.75,10167,14106.75,22660.00000000002,34109.95
2022-2023,41,7146.25,9042,12460,20050.8,30220.349999999988
2022-2023,42,6485.5,8081,11350,17301.40000000001,28638.14999999999
2022-2023,43,5910.25,7458.5,10327.5,15517.10000000001,22100.399999999994
2022-2023,44,5345,6685.5,9227.25,14442.900000000001,21846.89999999999
2022-2023,45,4941,6226,8488.25,13227.000000000004,18901.349999999995
2022-2023,46,4601,5757,8048.75,12589.000000000005,19002.199999999993
2022-2023,47,4319,5474.5,7397,11544.000000000004,17619.949999999997
2022-2023,48,4141,5256,7258,11953.00000000001,17801.999999999996
2022-2023,49,4056.75,5097,7150,11074.700000000003,17911.2
2022-2023,50,4006.75,5049.5,6976.25,11000.100000000002,18612.049999999992
2022-2023,51,3962,5016.5,7066.25,11652.9,17024.69999999999
2022-2023,52,4056.5,5062.5,7196,11915.200000000013,18933.05
2023-2024,1,4246.75,5277,7182.25,10974.900000000001,15998.949999999992
2023-2024,2,4359,5474.5,7590.5,11760.300000000003,17564.449999999997
2023-2024,3,4559.5,5748,7847.25,12047.500000000004,17864.449999999997
2023-2024,4,4777.25,5878,8328.5,12721.1,19442.849999999995
2023-2024,5,5134,6425.5,8827.75,14002.30000000001,20893.249999999993
2023-2024,6,5502.25,6906.5,9594.25,15152.000000000011,21890.599999999988
2023-2024,7,5935.25,7392.5,10380.5,16357,24041.8
2023-2024,8,6471.5,8082.5,10996.75,17601.100000000002,26755.449999999997
2023-2024,9,7027.75,8674,12212.75,20311.800000000014,31436.149999999994
2023-2024,10,7539.5,9454.5,13297.25,21444.100000000028,33300.29999999999
2023-2024,11,8328.75,10534,14530.5,22260.600000000006,35588.85
2023-2024,12,9411,11949.5,16083,26351.300000000007,37699.74999999999
2023-2024,13,10735.25,13649.5,18413.75,29778.500000000007,43147.45
2023-2024,14,12609.75,15876.5,21503.5,33583.3,51446.24999999999
2023-2024,15,14675,18524.5,25576.5,40662.50000000003,66887.34999999999
2023-2024,16,17026,21380,29827.5,47871.40000000003,72940.29999999997
2023-2024,17,19339.25,24025,33796.75,56089,80137.29999999999
2023-2024,18,21995,27929.5,38621,59450.50000000001,91332.09999999998
