season,week,P25,P50,P75,P90,P95
2022-2023,1,9141.25,10716.5,11081.25,17690.300000000003,22545.84999999999
2022-2023,2,9346,10899.5,11274.8,17849.300000000007,23205.05
2022-2023,3,9613.25,11313,11711.45,18766.800000000007,23495
2022-2023,4,9971.25,11694,12118.25,19643.100000000002,24106.149999999998
2022-2023,5,10476,12283.5,12719.45,19936.70000000001,24955.35
2022-2023,6,11074.25,13032,13517.35,22029.000000000007,26985.59999999999
2022-2023,7,11759.25,13878,14362.35,23456.10000000001,29677.95
2022-2023,8,12531.75,14743.5,15313.449999999999,24718,30196.04999999998
2022-2023,9,13457.75,15891,16481.35,25937.600000000006,32476.149999999998
2022-2023,10,14545,17120.5,17714.9,28369.000000000015,35371.1
2022-2023,11,15834.5,18600,19288.9,30998.399999999998,39692.49999999998
2022-2023,12,17612.75,20769,21542.25,35064.700000000004,43725.6
2022-2023,13,20215.25,23737.5,24512.699999999997,39333.1,49282.49999999998
2022-2023,14,22851,26902.5,27815.45,44115.700000000026,55350.19999999999
2022-2023,15,26018.25,30634.5,31750.949999999997,50805.8,64046.54999999999
2022-2023,16,29381.75,34714,35716.1,57064.30000000001,70299.04999999999
2022-2023,17,32447,38321.5,39693.600000000006,63285.60000000001,77418.24999999997
2022-2023,18,35591.5,42238.5,43676.700000000004,68539.00000000004,85593.49999999999
2022-2023,19,39103.25,45842.5,47434.65,75335.40000000001,93431.39999999998
2022-2023,20,41688.25,48581.5,50687.2,80217.80000000002,100461.24999999999
2022-2023,21,44023.25,51206.5,52980.6,83954.1,108657.19999999997
2022-2023,22,46419.75,54232.5,56451.75,90493.60000000006,107742.85
2022-2023,23,47668.25,55368.5,57532.899999999994,91714.70000000006,114633.24999999994
2022-2023,24,49361.75,57146.5,59219.5,93751.30000000003,119270.5
2022-2023,25,49720.25,58502,60649.3,98819.40000000001,123087.09999999999
2022-2023,26,50656,59711,61758.7,98291.80000000002,125157.59999999999
2022-2023,27,50973.75,59971.5,61952.7,98558.09999999999,120499.15
2022-2023,28,50474.75,59278,61205.8,97450.40000000001,124742.75
2022-2023,29,48701.75,57915.5,60062.350000000006,94411.60000000005,120956.14999999997
2022-2023,30,46316.75,54534.5,56346.8,89588.80000000002,113655.5
2022-2023,31,43472.25,50945,52809.6,82291.3,101962.24999999997
2022-2023,32,39467.75,46058,47568.450000000004,75601.10000000002,97166.65
2022-2023,33,35308.5,41443,42921.6,66932.00000000001,86180.14999999998
2022-2023,34,31289.75,36364.5,37462.600000000006,59344.50000000004,76565.65
2022-2023,35,27507.25,31836,32939.7,53310.000000000015,65931.74999999997
2022-2023,36,24212,27836.5,28742.449999999997,45963.600000000006,56931.89999999999
2022-2023,37,21076.75,24309,25137.9,40160.4,50073.15
2022-2023,38,18348.25,21423,22121,34920.70000000001,43624.7
2022-2023,39,16184.5,19107,19734.5,31260.60000000001,39831.599999999984
2022-2023,40,14594.25,17081,17601.95,28069.300000000007,34516.94999999999
2022-2023,41,13193,15468.5,15996.8,24979.100000000013,31726.1
2022-2023,42,12026.75,14103.5,14624.45,23282.3,29588.44999999999
2022-2023,43,11117.75,13101.5,13525,21370.300000000003,27651.4
2022-2023,44,10428.5,12207,12637.400000000001,20385.4,25664.649999999998
2022-2023,45,9863.75,11492,11874.8,19611.800000000014,23574.199999999997
2022-2023,46,9366.75,11069.5,11447.9,18320.700000000004,22466.949999999997
2022-2023,47,9140,10627,10998.45,17851.100000000002,21796.149999999998
2022-2023,48,8870,10433.5,10805.95,17273.3,22205.15
2022-2023,49,8760.5,10390,10729.95,17290.800000000003,21682.7
2022-2023,50,8820.5,10270,10622.9,16860.600000000002,20855.649999999994
2022-2023,51,8856.25,10304.5,10670.45,17164.700000000004,21233.6
2022-2023,52,8916,10386,10822.7,16823.2,20422.199999999997
2023-2024,1,10055.5,11759.5,12223.300000000001,19299.400000000005,23737.34999999999
2023-2024,2,10274.75,12006.5,12460.150000000001,19791.199999999997,24997.399999999998
2023-2024,3,10538.25,12269,12754.35,20270.700000000008,25187.549999999992
2023-2024,4,10971.75,12668,13186.45,20725.000000000004,25945.19999999999
2023-2024,5,11342.75,13261,13741.8,22124.400000000005,27854.449999999993
2023-2024,6,11800.5,14018.5,14491,23137.100000000002,28534.649999999994
2023-2024,7,12780,14878,15472.400000000001,24446.300000000003,30954.45
2023-2024,8,13279.5,15563,16118.8,25505.00000000002,32803.49999999999
2023-2024,9,14464.5,16845.5,17433.05,27444.2,33859.94999999999
2023-2024,10,15359.5,17976,18710.15,30508.7,38551.95
2023-2024,11,16863.75,19540,20327.8,31918.100000000006,40038.45
2023-2024,12,18769.25,22132,22944.15,35677.00000000001,45402.9
2023-2024,13,21551,25266,26194.7,40773.3,51220.29999999999
2023-2024,14,24646.5,28753,29589.35,46951.90000000001,59788.2
2023-2024,15,27974.75,32978,34151.7,53685.200000000055,67787.9
2023-2024,16,31761,37260.5,38537.7,60185.70000000001,75431.84999999998
2023-2024,17,35687.5,42085,43378.8,67998.80000000002,83164.24999999996
2023-2024,18,39178.5,46751.5,48218.95,75240,94341.55
2023-2024,19,43109.75,50308.5,51937.3,81051.90000000001,101234.55
2023-2024,20,46426.75,54737,56646.5,90339.80000000002,114424.14999999994
2023-2024,21,50123.25,58204.5,60562.35,96810.90000000002,119354.34999999998
2023-2024,22,52251,62550,64786.45,103327.50000000003,129953.44999999994
2023-2024,23,55173,65576,67783.8,106023.10000000002,139943.19999999998
2023-2024,24,58365.25,68274.5,70813.95000000001,112094.90000000002,144616.3
2023-2024,25,60030.25,70556.5,73411,115305.40000000004,145089.89999999997
2023-2024,26,61095.5,72218.5,74593.4,116343.20000000004,145372.64999999997
2023-2024,27,61585.75,72288.5,75001,118397.70000000008,150473.64999999997
2023-2024,28,61237.75,71914,74809.05,119753,148111.44999999998
2023-2024,29,58921,69387,71702.95000000001,114787.20000000001,144933.05
2023-2024,30,55463.75,65229,67290.90000000001,107619.40000000001,133764.69999999998
2023-2024,31,51022.25,60539.5,62510.8,98098.40000000004,126328.29999999999
2023-2024,32,46024.25,53960,56098.2,88479.40000000001,112196.90000000001
2023-2024,33,40427.5,47428,49027.45,77678,94511.94999999998
2023-2024,34,35257.75,41219,42777.05,67826.60000000002,87262
2023-2024,35,30603.5,35739.5,36940.399999999994,57758.200000000004,70688.84999999999
2023-2024,36,26275,30830,31822.300000000003,50816.3,64047.99999999999
2023-2024,37,22974.25,26388,27277.15,42617.700000000004,52438.6
2023-2024,38,19929,23355,24151.9,37976.00000000001,46914.2
2023-2024,39,17570.75,20348,21077.800000000003,33347.90000000001,41090.79999999999
2023-2024,40,15631.25,18371,18939.5,29060.400000000005,36726.25
2023-2024,41,14132.5,16401,17005.15,27122.100000000002,33561.2
2023-2024,42,13055.5,15196.5,15696.800000000001,24338.800000000003,30004.34999999999
2023-2024,43,12004.75,14031,14526.15,22544.3,29209.1
2023-2024,44,11300,13163.5,13594.05,21142.400000000005,26182.449999999993
2023-2024,45,10816.5,12558.5,12989.150000000001,19776.200000000004,23888.55
2023-2024,46,10244.25,12026.5,12402,19543.500000000004,24219.499999999993
2023-2024,47,9983.5,11695.5,12114.8,18965.700000000004,22931.6
2023-2024,48,9864.75,11452.5,11829.45,18394.7,22217.2
2023-2024,49,9874.75,11502.5,11900.35,18520.000000000004,22867.099999999995
2023-2024,50,9844,11381,11769.6,18566.9,23427.249999999996
2023-2024,51,9906.25,11437,11875.800000000001,18605.70000000001,23541.94999999999
2023-2024,52,9920.75,11648,12142,18565.2,22757.749999999996
2024-2025,1,12267.25,14718,15368.35,26105.100000000002,33944.049999999996
2024-2025,2,12298,14833,15394.05,26303.9,33889
2024-2025,3,12619.75,15273.5,15880.9,27336.100000000002,33971.7
2024-2025,4,13117.5,15764.5,16435.25,28358.700000000004,35079.05
2024-2025,5,13636.75,16650,17330.45,29374.1,38346.59999999999
2024-2025,6,14310,17088,17816.050000000003,31180.9,40973.899999999994
2024-2025,7,15133.75,18357.5,19169.8,32530.200000000004,41245
2024-2025,8,15996.5,19547,20342.6,34240.600000000006,45525.1
2024-2025,9,17170.25,21004.5,21895.8,36609.8,45695.65
2024-2025,10,18295.25,22132,23205.9,40969.1,52839.849999999984
2024-2025,11,20181.75,24554.5,25696.699999999997,43265.500000000015,57536.44999999999
2024-2025,12,22735,27677.5,28941.6,48947.50000000001,63224.399999999994
2024-2025,13,26817,31892.5,33489.65,57725.8,74694.65
2024-2025,14,30871,37083.5,39003.05,67299.70000000001,87969.54999999999
2024-2025,15,36166.5,43484.5,45263.149999999994,78119.20000000007,102374
2024-2025,16,41566,50541.5,52888.15000000001,91822.2000000001,114934.1
2024-2025,17,47980.5,58159,60593.05,107511.1,135987.4
2024-2025,18,54255.5,66348.5,69219.8,116628.60000000008,149619.6999999999
2024-2025,19,60357,72637.5,75759.75,131201.2,166985.74999999997
2024-2025,20,65834.75,80849,84450.05000000002,143218.40000000002,187126.09999999992
2024-2025,21,71104.75,87156,91077.6,155321.5,194920.15000000002
2024-2025,22,76066.25,92783.5,96852.4,167287.20000000004,204330.3
2024-2025,23,80685.25,98099.5,102740.65,179938.4,237906.44999999992
2024-2025,24,83905,102640,107291.6,186595.80000000008,232839.69999999992
2024-2025,25,87297.25,106346.5,110712.6,194372.40000000008,256391.19999999992
2024-2025,26,87522.75,108360.5,112905.45000000001,198061.1,269722.44999999984
2024-2025,27,87543.5,107140.5,112707.55,200330.7,260322.7999999999
2024-2025,28,87813.75,107496.5,112487.25,200912.40000000014,257212.39999999997
2024-2025,29,82770,102185,106001.25,189131.9,241687.64999999988
2024-2025,30,78329,95906.5,100804.95,182719.5,240526.19999999998
2024-2025,31,69846.25,86031.5,90375.85,156331.10000000003,211942.6
2024-2025,32,62988.25,76400.5,79438.35,138522.90000000005,182816.9
2024-2025,33,53913.25,65992,68896.65000000001,121277.70000000011,159723.34999999992
2024-2025,34,46869,56610.5,58912.85,103145.60000000002,134122.44999999998
2024-2025,35,39621,47926.5,49734.600000000006,86186.1,110833.54999999997
2024-2025,36,33815.5,40879,42510.95,74074.1,95921.19999999995
2024-2025,37,28917,34800.5,36216.7,63325.50000000001,82373.59999999998
2024-2025,38,24875,29938,31295,54408.10000000006,67528.59999999999
2024-2025,39,21771.25,25965.5,26945.1,44629.200000000004,57964.09999999999
2024-2025,40,19206.75,22801.5,23684.25,39439.30000000003,50407.99999999999
2024-2025,41,17161,20564.5,21299,35554.1,45368.099999999984
2024-2025,42,15560.75,18621,19338,32024.4,40442.5
2024-2025,43,14546.5,17397.5,18098.9,30630.9,38502.14999999999
2024-2025,44,13715.5,16306,16918.2,28787.600000000035,36267.7
2024-2025,45,12910.5,15431.5,16008.6,26988.00000000001,33262.49999999999
2024-2025,46,12458,14908,15550.699999999999,26462.90000000001,33101
2024-2025,47,12101.5,14502,15090.349999999999,25566.4,32636.449999999997
2024-2025,48,11957,14293.5,14750.7,25039.40000000001,31127.899999999998
2024-2025,49,11822.25,14412,15003.800000000001,24889.4,31892.899999999994
2024-2025,50,11882.5,14371.5,14955.4,25654.80000000001,32168.599999999995
2024-2025,51,11974.75,14405,15011.45,25562.2,31690.99999999999
2024-2025,52,12015.75,14605.5,15283.35,25501.800000000003,32184.199999999997
