uf,season,week,P25,P50,P75,P90,P95
AC,2022-2023,1,22,47,94,170,242.0999999999999
AC,2022-2023,2,25,52,111,203.10000000000014,305.04999999999995
AC,2022-2023,3,31,64.5,136,259,381
AC,2022-2023,4,35,75,146,283,432.04999999999995
AC,2022-2023,5,42,88,179,343,502.04999999999995
AC,2022-2023,6,49,96,198.25,383,562.2499999999998
AC,2022-2023,7,54,110.5,227,424.10000000000014,638.2499999999998
AC,2022-2023,8,58.75,121,249.5,461.10000000000014,714.05
AC,2022-2023,9,63,131,260,512.1000000000001,766.1999999999998
AC,2022-2023,10,70.75,143.5,297.25,545.1000000000001,783.05
AC,2022-2023,11,70,149,308,557.0000000000014,850.0999999999999
AC,2022-2023,12,79,171,315.25,598.1000000000001,854.3499999999997
AC,2022-2023,13,84,179.5,361.25,652.1000000000001,1012
AC,2022-2023,14,89,189.5,382,697,1133.1999999999998
AC,2022-2023,15,108,209,415,748,1123.1
AC,2022-2023,16,103.75,221,443.25,839.3000000000004,1180.2499999999998
AC,2022-2023,17,103,212,445.25,822.1000000000001,1243.4499999999996
AC,2022-2023,18,99,215,431.25,780.5000000000007,1236.05
AC,2022-2023,19,99,199,397.25,723.2000000000003,1153.05
AC,2022-2023,20,85,174,367,698,1054.4499999999996
AC,2022-2023,21,80,158,316.25,629.1000000000001,938
AC,2022-2023,22,71.75,141,275.25,513,741.05
AC,2022-2023,23,55.75,114.5,231.25,432,665.05
AC,2022-2023,24,50,104,202,382.3000000000004,554.1999999999998
AC,2022-2023,25,44,89,178,343.10000000000014,508.04999999999995
AC,2022-2023,26,37,77.5,161,299,442.4499999999996
AC,2022-2023,27,35,72,150.25,290.2000000000003,436.04999999999995
AC,2022-2023,28,32,65,129,245,386.04999999999995
AC,2022-2023,29,28,61,119,226.10000000000014,347.1999999999998
AC,2022-2023,30,26,55,112.25,222,311.14999999999986
AC,2022-2023,31,25,51,102,185.10000000000014,280.14999999999986
AC,2022-2023,32,23,46,96,178,257.04999999999995
AC,2022-2023,33,20,44,86.25,164.10000000000014,241
AC,2022-2023,34,18,39,81,145.10000000000014,212
AC,2022-2023,35,16,33,71,132,188.04999999999995
AC,2022-2023,36,15,30,63,120.10000000000014,169.04999999999995
AC,2022-2023,37,14,27,56.25,103.10000000000014,148
AC,2022-2023,38,13,27,51,99,145.04999999999995
AC,2022-2023,39,12,25,51,95.10000000000014,144.0999999999999
AC,2022-2023,40,11,23,45,85.20000000000027,136
AC,2022-2023,41,11,23,46,86,131.0999999999999
AC,2022-2023,42,10,21,44,85.10000000000014,132
AC,2022-2023,43,10,21,42,82,127
AC,2022-2023,44,10,21,43,78,112.04999999999995
AC,2022-2023,45,10,21,42,78,118.04999999999995
AC,2022-2023,46,9,20.5,40.25,73.10000000000014,112
AC,2022-2023,47,10,21,44,83.10000000000014,117
AC,2022-2023,48,11,24,46,86.10000000000014,131
AC,2022-2023,49,12,26,52,95.10000000000014,143
AC,2022-2023,50,14,29,59,108,160.04999999999995
AC,2022-2023,51,17,34,70,131.20000000000027,197
AC,2022-2023,52,18,39,80,148,218.29999999999973
AL,2022-2023,1,43,99,232,498.40000000000055,847.4499999999996
AL,2022-2023,2,42,95,218,464,764.1999999999998
AL,2022-2023,3,39,91,211.5,462.10000000000014,849.4999999999995
AL,2022-2023,4,37,86,188,409,687.0999999999999
AL,2022-2023,5,35,74.5,177,398,766.2999999999997
AL,2022-2023,6,34,77,168.25,351.10000000000014,609.1999999999998
AL,2022-2023,7,30,73,165,375.2000000000003,649.2999999999997
AL,2022-2023,8,29,67,150,346.10000000000014,567.4499999999996
AL,2022-2023,9,27,62,136,291.10000000000014,514.5999999999995
AL,2022-2023,10,26,57,127,274.40000000000055,486.14999999999986
AL,2022-2023,11,26.75,58,131.25,309.10000000000014,495.2499999999998
AL,2022-2023,12,27,58,135,304.6000000000008,503.0999999999999
AL,2022-2023,13,26,61,138,305.10000000000014,500.2999999999997
AL,2022-2023,14,29,63.5,142,322.10000000000014,509.4499999999996
AL,2022-2023,15,27,63,151,316,547.3499999999997
AL,2022-2023,16,32,70,150,337.2000000000003,545.4499999999996
AL,2022-2023,17,31,72,161,350.2000000000003,592.3499999999997
AL,2022-2023,18,33,77.5,169,379.10000000000014,664.0999999999999
AL,2022-2023,19,36,79,177,377.10000000000014,621.4499999999996
AL,2022-2023,20,38.75,85,194,422.2000000000003,702
AL,2022-2023,21,40,89.5,200.25,446.2000000000003,724
AL,2022-2023,22,41,94,209,452.10000000000014,760.1999999999998
AL,2022-2023,23,44,100,228.25,482.5000000000007,812.3499999999997
AL,2022-2023,24,45,104.5,234.25,536,914.3499999999997
AL,2022-2023,25,51,112,258,559.3000000000004,893.0999999999999
AL,2022-2023,26,59,127.5,294.25,655.4000000000005,1072.5499999999995
AL,2022-2023,27,62,146,327.25,745.2000000000003,1222.1
AL,2022-2023,28,71,162,355,774.1000000000001,1302.1
AL,2022-2023,29,78,173,411,871.2000000000003,1528.1
AL,2022-2023,30,91,203,453,934.700000000001,1602.7999999999993
AL,2022-2023,31,101,227,491.25,1115.800000000001,1854.1499999999999
AL,2022-2023,32,112.75,244,567.25,1270,2011.7999999999993
AL,2022-2023,33,124,273,594.25,1391.3000000000004,2233.8999999999983
AL,2022-2023,34,133.75,294,679,1545.2000000000003,2399.6499999999996
AL,2022-2023,35,135,301.5,678.25,1440.4000000000005,2369.2499999999995
AL,2022-2023,36,134,304,714,1572.2000000000003,2508.2999999999997
AL,2022-2023,37,135.75,300,680.25,1429.700000000001,2531.15
AL,2022-2023,38,129,287.5,660.5,1471.3000000000004,2373.1499999999996
AL,2022-2023,39,131,287,631.5,1459.4000000000005,2407.25
AL,2022-2023,40,126.75,273.5,626.5,1386.3000000000004,2280.3499999999995
AL,2022-2023,41,116,260.5,617,1347.6000000000008,2125.25
AL,2022-2023,42,110.75,254,560.25,1259.1000000000015,1979.8999999999992
AL,2022-2023,43,98,228,513.25,1122.5000000000007,1822.2999999999988
AL,2022-2023,44,90,207,463.25,984.9000000000012,1615.1
AL,2022-2023,45,80,182.5,419.25,884.1000000000001,1428.4999999999995
AL,2022-2023,46,75,168,362,798.1000000000001,1246.4999999999995
AL,2022-2023,47,68,153,343,745.5000000000007,1287.199999999999
AL,2022-2023,48,62,143,318,674.3000000000004,1150.05
AL,2022-2023,49,57,128,291,607.1000000000001,994.0999999999999
AL,2022-2023,50,52,120,275,606.1000000000001,966.5499999999995
AL,2022-2023,51,51,110,242,552.3000000000004,915.3999999999996
AL,2022-2023,52,43,101,236.25,518.2000000000003,837.1499999999999
AM,2022-2023,1,31,53,88,143,197.04999999999995
AM,2022-2023,2,33,53.5,87,142,201.0999999999999
AM,2022-2023,3,33,54,88,140,190.04999999999995
AM,2022-2023,4,36,57,91,145.10000000000014,200
AM,2022-2023,5,38,60,98,159.10000000000014,210.04999999999995
AM,2022-2023,6,41,65,104,163,215.24999999999977
AM,2022-2023,7,42,68,110,174,231.04999999999995
AM,2022-2023,8,45,72,118,186.10000000000014,269.04999999999995
AM,2022-2023,9,46,75,125.25,205,276.04999999999995
AM,2022-2023,10,51,80,126,209,289.04999999999995
AM,2022-2023,11,52,82,132,209.10000000000014,300.04999999999995
AM,2022-2023,12,55,88,139,231,324
AM,2022-2023,13,60,95,155.25,234,315.04999999999995
AM,2022-2023,14,66,105,166,255,353.0999999999999
AM,2022-2023,15,70,110,176,272,348
