uf,season,week,P25,P50,P75,P90,P95
AC,2022-2023,1,64,112,124,295.10000000000014,394
AC,2022-2023,2,73,126,139,354.10000000000014,473
AC,2022-2023,3,82,144,159,383,500.0999999999999
AC,2022-2023,4,97,166,181,432.10000000000014,574.05
AC,2022-2023,5,111,192,212,510,668.1499999999999
AC,2022-2023,6,125,209.5,233,554.2000000000003,738.05
AC,2022-2023,7,130.75,235,262,636.1000000000001,845
AC,2022-2023,8,154,262,291,686.1000000000001,911.1499999999999
AC,2022-2023,9,161,272,296,734.2000000000003,1020.1499999999999
AC,2022-2023,10,178,296,332,787,1030.1
AC,2022-2023,11,190.75,326.5,357.45000000000005,858.2000000000003,1159.1999999999998
AC,2022-2023,12,209,361,396.45000000000005,953.2000000000003,1291.2999999999997
AC,2022-2023,13,238,401,434,1035.2000000000003,1397
AC,2022-2023,14,256,433,475,1173.1000000000001,1582
AC,2022-2023,15,276,483.5,535.45,1237.3000000000004,1686.5499999999995
AC,2022-2023,16,293.75,494,542,1306.2000000000003,1702.3999999999996
AC,2022-2023,17,280,482.5,541,1316.9000000000012,1762.05
AC,2022-2023,18,290,494,552,1314.3000000000004,1662.8499999999992
AC,2022-2023,19,276,478.5,520,1247.4000000000005,1629.8499999999992
AC,2022-2023,20,251,428,479,1171.1000000000001,1588.05
AC,2022-2023,21,234,395.5,439.45000000000005,1020.3000000000004,1377.1
AC,2022-2023,22,211,353,391,925.4000000000005,1242.4999999999995
AC,2022-2023,23,186,317,352.45000000000005,821.5000000000007,1125.1
AC,2022-2023,24,164,279,307.45000000000005,776.2000000000003,993.1999999999998
AC,2022-2023,25,149,248,275,699.1000000000001,935.0999999999999
AC,2022-2023,26,132,224.5,249,601.1000000000001,794.2999999999997
AC,2022-2023,27,120,208.5,228.45000000000005,564.4000000000005,751.5999999999995
AC,2022-2023,28,111,189,209,483,633.0999999999999
AC,2022-2023,29,101,174.5,194,458,605.05
AC,2022-2023,30,98,162,180,439.3000000000004,593.0999999999999
AC,2022-2023,31,94,156,171,422,583.05
AC,2022-2023,32,84,146,163,415.10000000000014,544.0999999999999
AC,2022-2023,33,78,135,148.45000000000005,355,468
AC,2022-2023,34,76,126,139,346.10000000000014,453
AC,2022-2023,35,68,115.5,127,317,413
AC,2022-2023,36,62,109,118,290.10000000000014,363.14999999999986
AC,2022-2023,37,56.75,97,107,253,334.04999999999995
AC,2022-2023,38,51,92,102,243,320.0999999999999
AC,2022-2023,39,50,86,95,224,298
AC,2022-2023,40,48,82,91,218.20000000000027,293.04999999999995
AC,2022-2023,41,43,76,83.45000000000005,191,262.04999999999995
AC,2022-2023,42,43,69,77,192,252.04999999999995
AC,2022-2023,43,38,65,72,178,232
AC,2022-2023,44,38,64,70,174,232.0999999999999
AC,2022-2023,45,35,62,68,156.10000000000014,214.04999999999995
AC,2022-2023,46,35,60,66,164.10000000000014,214.04999999999995
AC,2022-2023,47,36,61,67,165.20000000000027,218.0999999999999
AC,2022-2023,48,37,63.5,71,173,237
AC,2022-2023,49,39,66,73,187.10000000000014,257.04999999999995
AC,2022-2023,50,42,74.5,82,203,275
AC,2022-2023,51,48,86,94,221.10000000000014,301.0999999999999
AC,2022-2023,52,56,94,104,250,333
AL,2022-2023,1,65,145,170,647.3000000000004,1194.3999999999996
AL,2022-2023,2,61,135.5,156.45000000000005,651.4000000000005,978.1999999999998
AL,2022-2023,3,58,128.5,148,644.3000000000004,1022.8999999999992
AL,2022-2023,4,56,120,139,597.2000000000003,1024.05
AL,2022-2023,5,54.75,120,138,543,944.2499999999998
AL,2022-2023,6,49,111,129,557.1000000000001,1016.4999999999995
AL,2022-2023,7,48,102,121,538.1000000000001,916.1499999999999
AL,2022-2023,8,44,100,116,488,822.1999999999998
AL,2022-2023,9,43,95,109,489.2000000000003,765.2999999999997
