uf,season,estimate,LI,LS,estimate.prob,LI.prob,LS.prob
AC,2022-2023,12149,3649.5750000000003,40807.899999999856,5175.5,787.8249999999999,33824.02499999996
AL,2022-2023,12642.5,2000.325,119966.29999999955,9098,1219.775,91286.04999999992
AM,2022-2023,9427,4210.25,25915.974999999988,4654,1694.875,18363.649999999972
AP,2022-2023,1058.5,217.975,5315.149999999994,420,40.95,3663.274999999988
BA,2022-2023,53775,25170.5,257563.67499999967,40664,17622.225000000002,236797.04999999938
CE,2022-2023,58724.5,25805.3,186966.7249999994,27676,11163.675,136692.44999999987
DF,2022-2023,23830.5,2282.475,212507.0499999989,16655.5,1570.925,171451.52499999988
ES,2022-2023,31860,8421.725,238471.72499999878,13541.5,555.825,1773390.6249999993
GO,2022-2023,128730.5,71680,281937.02499999944,103813,55872.475,232397.59999999995
MA,2022-2023,7639,2344,31944.399999999954,5903,1744.825,27833.949999999943
MG,2022-2023,196945,98870.525,834039.5499999998,111456,49953.049999999996,796108.8999999999
MS,2022-2023,39209.5,11658.975,209808.8249999993,22637,4311.825,256723.44999999992
MT,2022-2023,27036.5,10825.875,130658.19999999962,18700,7706.975,79568.82499999997
PA,2022-2023,11362.5,5780.6,28045.024999999965,5856,2781.7,17518.84999999997
PB,2022-2023,20399.5,6425.35,101069.4,16559,4672.75,88315.84999999983
PE,2022-2023,54721.5,18121.625,231836.32499999987,27472,6591.55,174349.02499999973
PI,2022-2023,8181.5,3508.725,29412.524999999987,6342,2347.625,24099.274999999994
PR,2022-2023,119541,42211.975,501782.9999999998,55531.5,10567.824999999999,651661.5999999994
RJ,2022-2023,26637.5,7145.35,174242.69999999998,17066,3801.2,140714.42499999984
RN,2022-2023,25202.5,7128.5250000000005,148905.24999999997,19044.5,3615.25,138906.89999999944
RO,2022-2023,6649.5,1723.95,33197.07499999999,3207,649,23526.47499999989
RR,2022-2023,2193,532.925,8577.949999999995,239,19,3302.075
RS,2022-2023,9493,2611.9750000000004,75939.02499999963,4290,837.95,56502.499999999876
SC,2022-2023,16717.5,5560.375,166606.19999999925,5990.5,1010.8249999999999,196510.7749999994
SE,2022-2023,4755.5,407.825,53118.09999999976,1780.5,129,26018.47499999999
SP,2022-2023,360839,198150.97499999998,1167828.525,178925.5,68391.425,1229194.5249999997
TO,2022-2023,16369,4993.5,71486.5,6672.5,1733.9499999999998,39319.92499999999
AC,2023-2024,12473,3629.6749999999997,44202.99999999996,4827,936,25399.849999999984
AL,2023-2024,11839,1855.775,104079.34999999999,8906,1326.7,85157.29999999997
AM,2023-2024,10296.5,4307.075000000001,30788.874999999876,4726.5,1785.5500000000002,18144.199999999986
AP,2023-2024,1206.5,213.97500000000002,6211.4499999999925,473.5,53,3753.1749999999993
BA,2023-2024,58670,26918.725000000002,217887.99999999936,41489,17297.3,190275.54999999973
CE,2023-2024,56636,26302.95,172511.84999999998,25752,10581.724999999999,106769.14999999992
DF,2023-2024,25879.5,2651.2250000000004,255347.84999999902,17547.5,1451.925,191521.39999999976
ES,2023-2024,42216.5,10842.525,405144.9749999992,9042,328.95000000000005,882591.8249999807
